Numberoftransactions,Sourcepartner,Datafeild
1,Ingram (Belgium),01-01-2016
2,"Flextronics, Manaus",11-01-2016
397,Ingram (US),04-01-2016
45,SIRAS Redmond,05-01-2016
6,Tech Data (Belgium),06-01-2016
6,Target PC,10-01-2016
1,ABC Data,10-01-2016
366,D&H Distributing,22-01-2016
4,Tech Data (Switzerland),22-01-2016
35,Hewlett-Packard-E Houston TX,19-01-2016
47,FRYS XBOX,27-01-2016
55,MicroWarehouse Limited,05-01-2016
5,INSIGHT,22-01-2016
4,GTI (Spain),18-01-2016
3,Insight Technology Solutions GmbH,03-01-2016
12,DICKERAU,18-01-2016
45,Ceva Singapore,25-01-2016
52,MSFTMSAP,06-01-2016
1,Ingram (Germany) (Alt 2),23-01-2016
110,Office Depot,06-01-2016
140,Ingram (Germany),25-01-2016
7,Frys,25-01-2016
1,INTERDISCOUNT CH,22-01-2016
199,Soft Choice,20-01-2016
4,Tech Data (Spain),15-01-2016
41,SYNNEXAU,22-01-2016
33,En Pointe Technologies,06-01-2016
3,Boulanger,19-01-2016
284,Staples,29-01-2016
1,Tech Data Latin America,30-01-2016
28,TECH PACIFIC HONG KONG,25-01-2016
14,CANCOM,04-01-2016
47,Merisel (Canada),05-01-2016
37,Ingram FPP (Canada),04-01-2016
3654,Walmart,22-01-2016
46,Tech Pacific Australia,12-01-2016
1,Ingram (Netherlands) (Alt 2),15-01-2016
67,Bertelsmann,17-01-2016
1,INSIGHTIT,20-01-2016
57,Best Buy (PC),14-01-2016
46,SIRAS Redmond,28-01-2016
4,SAP-COFF,25-01-2016
4,ElCorteIngles (Spain),07-01-2016
19,Insight Australia,20-01-2016
2,Costco US (Alt 3),05-01-2016
2,Techpac_Singapore,12-01-2016
10,ElCorteIngles (Spain),30-01-2016
1,Tech Data (Sweden),02-01-2016
10,ABC Data,12-01-2016
5,Tech Data (Poland),04-01-2016
13,Tech Pacific New Zealand,20-01-2016
39,Hewlett-Packard-E Houston TX,17-01-2016
1,Ingram (Spain) (Alt 2),09-01-2016
3,Aptec,10-01-2016
2,INSIGHTBE,27-01-2016
16,Actebis (Finland),25-01-2016
17,DICKERAU,14-01-2016
1,Insight Singapore,04-01-2016
33,INSIGHTSE,07-01-2016
11,Toys R US (Software),17-01-2016
1,"Happinet, Tokyo",21-01-2016
35,Ingram (Belgium),26-01-2016
1,Verkkokauppa.com,20-01-2016
2,"Flextronics, Manaus",09-01-2016
305,MediaMarket EMEA,06-01-2016
2,INSIGHTCH,21-01-2016
13,Walmart (Alt 3),23-01-2016
196,Citi Bank EMEA,21-01-2016
1,Tech Data Canada Corporation,02-01-2016
1,RRD Lodz AR2,28-01-2016
92,Office Depot,08-01-2016
1,INSIGHTFR,10-01-2016
2,Tech Pacific Australia,31-01-2016
65,COPACO,13-01-2016
68,COPACO,07-01-2016
18,INSIGHTIT,14-01-2016
191,Citi Bank EMEA,25-01-2016
4,Carrefour (Spain),19-01-2016
2,Kmart,09-01-2016
6,Banque Magnétique,12-01-2016
9,INSIGHTBE,08-01-2016
6,Target PC,16-01-2016
2,Microcenter (Alt 2),31-01-2016
1,Tech Data (Poland),23-01-2016
42,SYNNEXAU,28-01-2016
4,Bertelsmann Manufacturing,04-01-2016
3,G2B_Office Centre,19-01-2016
407,Walmart (Alt 3),19-01-2016
2,Softmart,25-01-2016
25,Tech Pacific Australia,06-01-2016
27,Ingram FPP (Canada),27-01-2016
2,Compaq (Alt1),14-01-2016
2,ElCorteIngles (Spain),09-01-2016
7,Ingram (France),30-01-2016
22,Tech Data (Canada),26-01-2016
6,Insight Technology Solutions GmbH,22-01-2016
58,NewEgg,21-01-2016
11,Dixons (UK),26-01-2016
12,INSIGHTFR,14-01-2016
1,Softmart,02-01-2016
2,Bank Of America (Payroll),13-01-2016
4,DICKERAU,24-01-2016
56,MSFTMSAP,23-01-2016
659,C2000 (all European sites),14-01-2016
3,Tech Data FPP (US),16-01-2016
6,Softmart,04-01-2016
2,Bank Of America (Payroll),15-01-2016
12,Dixons (UK),28-01-2016
15,Insight Hong Kong,22-01-2016
27,CANCOM,27-01-2016
271,AMAZON,04-01-2016
11,Tech Data (Canada) (Alt 2),23-01-2016
20,TheValueSystemsTH,11-01-2016
1,Avnet,20-01-2016
41,C2000 (United Kingdom),04-01-2016
20,Tech Data (Germany),21-01-2016
80,MSFTMSAP,25-01-2016
4,GE Compunet,04-01-2016
56,MSFTMSAP,19-01-2016
1,Leclerc,18-01-2016
24,VMSBTSELAN,19-01-2016
109,Walmart (Alt 3),21-01-2016
2,Tech Data ENT (US),01-01-2016
152,Citi Bank EMEA,19-01-2016
2,INSIGHT,28-01-2016
1,"Happinet, Tokyo",06-01-2016
11,INSIGHTCH,11-01-2016
31,Ceva Singapore,06-01-2016
45,SIRAS Redmond,03-01-2016
27,Compucom (Channel Reporting),24-01-2016
